Equipment number;CNB0100003974;;;Life(%);94
Time;Eq. NO2 (oxidant gases) Level (µg/m3);Bat.(mV) ;Temp. °C;Humidity %;
19/06/2018 18:40:00;5.742;4140;27;46;
19/06/2018 18:41:00;9.57;4140;27;46;
19/06/2018 18:42:00;7.656;4140;27;46;
19/06/2018 18:43:00;7.656;4140;27;46;
19/06/2018 18:44:00;9.57;4140;27;46;
19/06/2018 18:45:00;7.656;4140;27;46;
19/06/2018 18:46:00;11.484;4140;27;46;
19/06/2018 18:47:00;3.828;4140;27;46;
19/06/2018 18:48:00;11.484;4140;27;46;
19/06/2018 18:49:00;9.57;4140;27;46;
19/06/2018 18:50:00;9.57;4140;27;46;
19/06/2018 18:51:00;5.742;4140;27;46;
19/06/2018 18:52:00;7.656;4140;27;46;
19/06/2018 18:53:00;7.656;4140;27;46;
19/06/2018 18:54:00;9.57;4140;27;46;
19/06/2018 18:55:00;9.57;4140;27;46;
19/06/2018 18:56:00;11.484;4140;27;46;
19/06/2018 18:57:00;11.484;4140;27;46;
19/06/2018 18:58:00;13.398;4140;27;46;
19/06/2018 18:59:00;7.656;4140;27;46;
19/06/2018 19:00:00;7.656;4140;27;46;
19/06/2018 19:01:00;11.484;4140;27;46;
19/06/2018 19:02:00;5.742;4140;27;46;
19/06/2018 19:03:00;11.484;4140;27;46;
19/06/2018 19:04:00;9.57;4140;27;46;
